image_id	category	mn_name	adequacy	pred_name	adequacy	pred_score_converted
32	hit	cabinet	1.0	cabinet	1.0	0.005395560523041617
160	hit	dress	1.0	dress	1.0	0.005524690802108926
308	hit	bridge	1.0	bridge	1.0	0.005896356779459247
474	error	table	1.0	bed	--	0.005595459370388882
535	hit	table	1.0	table	1.0	0.0074361729681641205
556	hit	rug	1.0	rug	1.0	0.007391237463716026
625	error	car	1.0	van	--	0.003201709982247171
691	hyponym	animal	1.0	giraffe	--	0.0048617639640502405
1045	hit	table	1.0	table	1.0	0.009761959262745038
1074	hit	house	1.0	house	1.0	0.006800356417484272
1132	hit	counter	1.0	counter	1.0	0.005075242677109833
1375	hit	man	1.0	man	1.0	0.005225637135672817
1590	error	table	0.41666666666666663	bed	--	0.004689056491376347
1687	hit	chair	1.0	chair	1.0	0.004306031807582903
2611	hit	bird	1.0	bird	1.0	0.007295083720020994
2657	same_cluster	animal	1.0	cow	1.0	0.004147271517830089
3611	hit	horse	1.0	horse	1.0	0.006690436562590006
3966	co-hyponyms	desk	1.0	counter	--	0.0071874730681740235
4257	hit	building	1.0	building	1.0	0.005798865102976958
4711	hit	house	1.0	house	1.0	0.005526374754786744
4725	hit	house	1.0	house	1.0	0.005695494610114413
4766	hit	house	1.0	house	1.0	0.007049533783565812
4884	hit	chair	1.0	chair	1.0	0.00844990623970997
4911	hit	carpet	1.0	carpet	1.0	0.008343230820805403
61562	hit	rug	1.0	rug	1.0	0.0052162744143829706
61586	same_cluster	umpire	1.0	man	1.0	0.004760912003547281
61590	same_cluster	boy	1.0	snowboarder	1.0	0.004718935097914513
150336	hit	woman	1.0	woman	1.0	0.004448363073217207
150418	hit	horse	1.0	horse	1.0	0.00978888092341064
286084	hit	truck	1.0	truck	1.0	0.008015304024225366
498263	hit	sink	0.9166666666666666	sink	0.9166666666666666	0.006203401082893933
498298	hit	woman	1.0	woman	1.0	0.010199034333131839
498334	hit	shirt	1.0	shirt	1.0	0.007090253421953462
712987	same_cluster	person	1.0	skier	1.0	0.005159739123085181
713267	hit	motorcycle	1.0	motorcycle	1.0	0.006345696229567563
713472	hit	couch	1.0	couch	1.0	0.006206387239378054
713702	hit	train	1.0	train	1.0	0.005386405671331014
1159909	hit	desk	0.8333333333333334	desk	0.8333333333333334	0.007793028359922174
1159981	error	bus	0.8333333333333334	van	--	0.004619803981634321
1160027	error	bathtub	1.0	sink	--	0.004462234009294994
1160051	low_cnt	couch	1.0	chair	--	0.0049099364958608924
1160088	hit	motorcycle	1.0	motorcycle	1.0	0.004859585832125324
1160203	hit	bed	1.0	bed	1.0	0.010878341582646157
1591814	hit	dugout	1.0	dugout	1.0	0.0075576445701755045
1591904	hit	airplane	1.0	airplane	1.0	0.004078492692012094
1591965	error	table	0.8333333333333334	girl	--	0.0042467147918008276
1592028	hit	table	1.0	table	1.0	0.008320150870927375
1592205	hit	airplane	1.0	airplane	1.0	0.004565210764964239
1592412	hit	boat	1.0	boat	1.0	0.007955175229449453
1593036	hit	couch	1.0	couch	1.0	0.006129476125797799
2315401	hit	shirt	0.33333333333333337	shirt	0.33333333333333337	0.0048923575647079245
2315509	hit	cat	1.0	cat	1.0	0.00757176498026451
