image_id	category	mn_name	adequacy	pred_name	adequacy	pred_score_converted
32	co-hyponyms	cabinet	1.0	dresser	--	0.0034408623361755985
160	error	dress	1.0	girl	--	0.004437740429557892
308	hit	bridge	1.0	bridge	1.0	0.004091722630360013
474	hit	table	1.0	table	1.0	0.005000568605022492
535	hyponym	table	1.0	desk	--	0.004207670941954044
556	low_cnt	rug	1.0	table	--	0.004810958503161209
625	hit	car	1.0	car	1.0	0.004550950780010311
691	same_cluster	animal	1.0	cat	1.0	0.003909529664866304
1045	hit	table	1.0	table	1.0	0.005293877672399742
1074	hit	house	1.0	house	1.0	0.008318111711705215
1132	co-hyponyms	counter	1.0	desk	--	0.004359727413657178
1375	co-hyponyms	man	1.0	woman	--	0.003759505117727867
1590	hit	table	0.41666666666666663	table	0.41666666666666663	0.0040850263641617505
1687	hit	chair	1.0	chair	1.0	0.0038522292108522033
2611	hit	bird	1.0	bird	1.0	0.004572513609993825
2657	hyponym	animal	1.0	bird	--	0.0044871805598443
3611	hit	horse	1.0	horse	1.0	0.007111604011930641
3966	co-hyponyms	desk	1.0	counter	--	0.0041783528866896
4257	same_cluster	building	1.0	house	1.0	0.004369795939674221
4711	hit	house	1.0	house	1.0	0.005810738395152922
4725	hit	house	1.0	house	1.0	0.00523157126612004
4766	hit	house	1.0	house	1.0	0.007572232766380768
4884	co-hyponyms	chair	1.0	desk	--	0.003922183254331329
4911	hit	carpet	1.0	carpet	1.0	0.006838336815837402
61562	co-hyponyms	rug	1.0	bed	--	0.005868648683466345
61586	co-hyponyms	umpire	1.0	boy	--	0.004518802723318932
61590	hit	boy	1.0	boy	1.0	0.004012746028787949
150336	co-hyponyms	woman	1.0	man	--	0.0037674181093092975
150418	hit	horse	1.0	horse	1.0	0.0049646836234678955
286084	hit	truck	1.0	truck	1.0	0.005492002052674478
498263	same_cluster	sink	0.9166666666666666	counter	0.9166666666666666	0.004701169090158419
498298	hit	woman	1.0	woman	1.0	0.004636914652057008
498334	hit	shirt	1.0	shirt	1.0	0.004565206903455722
712987	same_cluster	person	1.0	woman	1.0	0.003778105420877534
713267	hit	motorcycle	1.0	motorcycle	1.0	0.00381344136278304
713472	co-hyponyms	couch	1.0	bed	--	0.005702045193094922
713702	error	train	1.0	car	--	0.004075424642786612
1159909	hit	desk	0.8333333333333334	desk	0.8333333333333334	0.005008765531843298
1159981	same_cluster	bus	0.8333333333333334	truck	0.8333333333333334	0.004427599054480707
1160027	co-hyponyms	bathtub	1.0	counter	--	0.0038356557912380355
1160051	co-hyponyms	couch	1.0	carpet	--	0.004012978729791898
1160088	hit	motorcycle	1.0	motorcycle	1.0	0.005008883255701988
1160203	hit	bed	1.0	bed	1.0	0.005360516655460528
1591814	hit	dugout	1.0	dugout	1.0	0.004219108068036381
1591904	same_cluster	airplane	1.0	plane	1.0	0.0036736654149942486
1591965	error	table	0.8333333333333334	child	--	0.00405023402931169
1592028	hit	table	1.0	table	1.0	0.00602267898298172
1592205	same_cluster	airplane	1.0	plane	1.0	0.004328542099731821
1592412	hit	boat	1.0	boat	1.0	0.005075271106505932
1593036	co-hyponyms	couch	1.0	bed	--	0.00361426641054852
2315401	hit	shirt	0.33333333333333337	shirt	0.33333333333333337	0.004847252084994191
2315509	hit	cat	1.0	cat	1.0	0.005471307235957396
2315539	hit	bench	1.0	bench	1.0	0.006630005986624517
2315708	error	knife	1.0	fork	--	0.0035051346048818447
2315931	hit	bird	1.0	bird	1.0	0.004577268741371066
2315994	hit	giraffe	1.0	giraffe	1.0	0.006099860477012439
2316008	error	table	1.0	couch	--	0.004197785838503262
2316156	error	woman	1.0	bench	--	0.004181711299390783
2316232	hit	boat	1.0	boat	1.0	0.007749551209807295
2316235	hit	bridge	1.0	bridge	1.0	0.004187214686850438
2316247	error	cow	1.0	house	--	0.003736755065913133
2316279	hit	cat	1.0	cat	1.0	0.005663128232759274
